Num	DT	KNN	NaiveBase
1	yes	no	yes
2	no	no	no
3	no	no	no
4	no	no	no
5	yes	yes	yes
6	no	no	no
7	no	no	no
8	yes	no	yes
9	no	no	no
10	yes	no	no
11	no	no	no
12	yes	yes	yes
13	no	no	no
14	no	no	no
15	no	no	no
16	no	no	no
17	yes	no	no
18	no	no	no
19	no	no	no
20	no	no	no
21	no	no	no
22	no	no	no
23	no	no	no
24	no	no	no
25	no	no	no
26	no	no	no
27	no	no	no
28	no	no	no
29	no	no	no
30	no	no	no
31	no	no	no
32	no	no	no
33	no	no	no
34	no	no	no
35	no	no	no
36	no	no	no
37	no	no	no
38	no	no	no
39	no	no	no
40	no	no	no
41	no	no	no
42	no	no	no
	0.88	0.83	0.88
