GPA	Algo	DataStructures	Complexity	MachineLearning	AI	Cryptography	Masters
90	95	65	60	85	80	60	no
88	95	85	80	70	85	75	no
87	85	75	70	100	80	90	no
91	75	85	60	85	85	70	no
89	80	100	65	80	70	70	no
88	75	90	90	90	95	60	no
85	90	75	70	80	80	85	no
89	90	75	75	95	75	80	no
90	90	80	70	90	65	70	no
88	85	80	65	80	85	90	no
90	85	65	95	90	95	90	no
88	80	75	65	75	85	60	no
88	75	80	70	80	85	65	no
85	90	70	70	90	90	65	no
85	80	80	80	90	75	65	no
91	75	65	95	100	80	65	no
87	85	100	75	85	80	60	no
85	85	85	100	95	90	65	no
92	95	85	75	70	80	80	yes
86	100	85	70	85	70	65	no
86	95	65	85	80	65	70	no
87	75	75	95	75	95	65	no
90	85	90	75	65	100	100	no
85	85	75	70	95	85	90	no
87	80	85	85	70	85	65	no
88	80	85	70	90	90	90	no
85	90	75	95	85	85	90	no
88	80	90	80	75	85	70	no
89	90	85	75	85	80	65	no
92	80	80	70	85	65	80	no
86	65	70	65	85	85	75	no
90	95	75	65	65	90	80	no
85	90	95	70	85	85	70	no
85	65	75	70	85	95	80	no
85	75	85	90	60	80	70	no
86	70	80	60	85	80	60	no
89	85	80	75	90	85	85	no
91	80	100	70	80	90	80	no
88	90	80	80	85	90	65	no
86	85	60	60	100	85	70	no
89	85	85	70	95	70	75	no
88	85	90	65	65	85	60	no
88	100	80	65	85	80	100	no
85	95	95	65	75	95	70	no
88	85	85	80	80	90	60	no
86	75	80	60	80	90	60	no
91	70	90	80	95	85	70	no
88	95	90	80	80	90	75	no
88	70	65	85	90	80	60	no
86	60	95	70	80	85	80	no
85	85	70	90	85	85	60	no
90	80	90	75	90	80	65	no
85	80	80	75	65	90	60	no
88	80	75	65	80	60	75	no
87	80	75	75	80	95	80	no
88	100	70	80	85	90	85	no
86	60	80	85	90	90	80	no
87	75	85	65	90	90	80	no
88	85	90	75	90	80	65	no
86	85	80	70	90	75	60	no
85	95	80	70	80	80	90	no
85	90	70	85	85	90	65	no
87	95	80	75	90	85	100	no
85	75	70	90	95	60	90	no
85	70	60	60	100	80	65	no
86	90	80	75	90	85	80	no
86	80	65	65	80	80	60	no
89	80	60	65	80	80	70	no
87	80	90	65	95	95	85	no
93	85	80	85	85	80	70	yes
87	70	85	90	80	95	60	no
87	70	85	65	80	65	75	no
89	90	100	75	80	60	60	no
91	65	75	85	80	65	70	no
86	75	85	65	80	70	75	no
93	90	75	95	80	85	75	yes
89	95	85	75	65	95	80	no
91	75	85	90	70	95	70	no
91	95	60	65	75	60	65	no
88	95	80	80	80	95	75	no
87	80	60	90	80	65	85	no
92	85	90	80	75	100	65	yes
85	75	85	75	80	85	90	no
88	75	80	80	65	85	70	no
86	85	80	60	80	90	65	no
90	80	80	90	80	75	90	no
89	80	85	65	95	85	100	no
89	85	70	60	90	85	60	no
88	65	80	90	90	90	75	no
91	85	85	75	85	70	70	no
85	95	80	90	95	85	70	no
89	70	85	75	100	95	90	no
87	85	90	70	75	65	70	no
86	80	70	65	80	95	65	no
94	85	70	75	60	85	60	yes
86	70	70	80	85	75	70	no
88	60	90	75	90	60	65	no
90	70	90	80	90	80	75	no
89	70	95	90	75	60	70	no
93	80	75	85	85	75	60	yes
85	75	90	85	60	80	70	no
90	95	100	65	90	80	65	no
85	95	85	85	80	75	85	no
90	85	80	95	65	95	60	no
85	80	95	75	80	90	70	no
91	80	85	70	80	100	65	no
93	90	85	85	85	60	60	yes
89	90	85	65	80	95	70	no
89	70	70	85	85	95	65	no
88	85	85	60	80	70	100	no
87	80	75	80	85	90	60	no
88	85	75	60	75	65	70	no
89	85	80	95	90	75	80	no
89	95	75	80	80	95	65	no
88	85	95	60	80	85	65	no
85	80	75	90	85	65	70	no
86	70	80	70	90	80	100	no
86	90	85	65	85	75	90	no
86	80	80	70	85	95	70	no
92	80	95	75	75	90	65	no
